976,todo,advertising agencies,if the data is anonymous,1
976,healthcare,your children,no condition,1
976,sleep hours,advertising agencies,if you are notified,1
976,video call,advertising agencies,no condition,1
976,sleep hours,skills,if the data is stored for as long as necessary for the purpose,1
976,email,skills,if you can delete or review the data,1
976,sleep hours,skills,if the data is anonymous,1
976,thermostat,skills,if the data is kept confidential,1
976,video call,law enforcement agencies,no condition,1
976,todo,advertising agencies,if the data is kept confidential,1
976,todo,your siblings,no condition,0
976,video call,neighbours,no condition,0
976,email,advertising agencies,if the data is kept confidential,1
976,healthcare,skills,no condition,1
976,thermostat,skills,no condition,1
976,video call,law enforcement agencies,if the data is kept confidential,1
976,email,your friends,no condition,1
976,thermostat,skills,if you can delete or review the data,0
976,video call,law enforcement agencies,if you are notified,1
733,call assistant,house keeper/helper,no condition,1
733,call assistant,your friends,no condition,0
733,call assistant,skills,if the data is anonymous,0
733,shopping,skills,if you are notified,0
733,door locker,visitors in general,no condition,0
733,camera,your children,no condition,0
733,call assistant,law enforcement agencies,if the data is stored for as long as necessary for the purpose,0
733,video call,assistant provider,no condition,0
733,call assistant,visitors in general,no condition,1
733,call assistant,skills,no condition,1
733,shopping,law enforcement agencies,no condition,0
733,door locker,close family,no condition,0
733,call assistant,law enforcement agencies,if the data is kept confidential,0
733,camera,law enforcement agencies,no condition,1
733,call assistant,your partner,no condition,0
733,call assistant,skills,if you can delete or review the data,0
733,call assistant,skills,if the data is stored for as long as necessary for the purpose,0
733,video call,advertising agencies,if you can delete or review the data,0
733,thermostat,visitors in general,no condition,0
733,video call,law enforcement agencies,no condition,0
733,shopping,assistant provider,if the data is anonymous,0
733,thermostat,your siblings,no condition,0
733,camera,advertising agencies,if you can delete or review the data,0
733,camera,your partner,no condition,0
733,door locker,house keeper/helper,no condition,0
733,camera,advertising agencies,if the data is stored for as long as necessary for the purpose,0
733,camera,house keeper/helper,no condition,0
733,door locker,skills,if the data is anonymous,0
733,camera,your friends,no condition,0
733,door locker,skills,if the data is kept confidential,0
733,door locker,skills,if you are notified,0
733,call assistant,close family,no condition,0
733,call assistant,your friends,no condition,0
733,video call,skills,no condition,1
733,camera,law enforcement agencies,if you are notified,0
733,shopping,assistant provider,if you are notified,0
733,video call,advertising agencies,if the data is kept confidential,0
733,camera,your parents,no condition,0
733,thermostat,advertising agencies,no condition,1
733,shopping,skills,if the data is kept confidential,0
